And/B,541553,541544,541533,541493,541483,541475,541469,541460,541441,541439,541427,541390,541388,541372,541354,541347,541343,541342,541330,541315,541311,541290,541257,541253,541246,541243,541223,541222,541193,541191,541178,541153,541135,541129,541125,541121,541120,541119,541098,541097,541083,541077,541068,541049,541047,541043,541041,541032,541000,540991,540978,540965,540941,540931,540929,540916,540915,540900,540893,540870,540869,540866,540864,540855,540854,540844,540839,540838,540835,540826,540814,540809,540803,540801,540782,540776,540770,540769,540761,540704,540701,540685,540676,540668,540661,540650,540616,540615,540611,540609,540546,540542,540539,540528,540509,540507,540503,540501,540499,540496,
And,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
